3.0000,0.0000
3.1382,0.0584
3.2427,0.1660
3.2970,0.3058
3.3112,0.4552
3.3458,0.6011
3.4377,0.9904
3.4605,1.1387
3.4713,1.2883
3.5164,1.4313
3.5897,1.5622
3.6568,1.6964
3.7178,1.8334
3.7924,1.9635
3.8777,2.0869
3.9730,2.2027
4.1059,2.2723
4.2554,2.2847
4.3979,2.2379
4.5109,2.1393
4.6527,2.0904
4.7923,2.0354
4.9290,1.9737
5.0730,1.9317
5.2218,1.9124
5.3717,1.9076
5.5213,1.9188
5.9200,1.9500
5.9829,2.1399
5.8511,1.9895
5.9586,1.8849
6.0612,1.7755
6.1837,1.6889
6.3202,1.6267
6.4661,1.5918
6.6158,1.5828
6.7657,1.5866
6.9149,1.6021
7.3128,1.6437
7.7113,1.6785
7.8612,1.6792
8.2612,1.6747
8.6611,1.6643
9.0608,1.6499
9.4607,1.6384
9.8606,1.6324
10.0106,1.6366
10.1470,1.6989
10.2943,1.5636
10.3448,1.7049
10.1451,1.6935
9.9656,1.6052
9.8559,1.7074
9.7174,1.7650
9.5678,1.7761
9.4182,1.7651
9.2714,1.7345
8.8797,1.6533
8.7309,1.6344
8.5810,1.6281
8.4310,1.6284
8.2812,1.6356
7.8816,1.6546
7.4819,1.6682
7.0819,1.6757
6.6819,1.6755
6.5321,1.6689
6.1325,1.6508
5.7328,1.6362
5.5828,1.6374
5.1828,1.6430
4.7829,1.6500
4.6376,1.6875
4.5024,1.7524
4.3816,1.8413
4.2704,1.9420
4.4169,2.0782
4.2991,2.1711
4.1692,2.2461
4.0267,2.2930
3.8780,2.3123
3.7280,2.3152
3.5785,2.3032
3.1801,2.2676
2.7814,2.2349
2.6314,2.2314
2.2315,2.2279
1.8315,2.2314
1.6928,2.1742
1.5428,2.1755
1.4052,2.2351
1.3011,2.3431
1.2473,2.4831
1.2306,2.6322
1.2507,2.7809
1.2783,2.9283
1.3135,3.0741
1.3404,3.2217
1.3591,3.3705
1.4087,3.5121
1.4831,3.6423
